Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C12, C8",0603,3,10uF,
C10,0603,1,1uF,
"C11, C4, C5",0603,3,0.1uF,
"C2, C3, C6, C7, C9",0603,5,22uF,
D1,LED_KT-0805W,1,KT-0805W,
J1,HRO_TYPE-C-31-M-12,1,TYPE-C-31-M-12,
L1,IND-SMD_L7.2-W6.6_GPSR0730,1,CYA0630-1.0UH,C5189744
MK1,MIC_SPH0645LM4H-B,1,SPH0645LM4H-1-8,
"R1, R2",0603,2,5.1k,
R10,0603,1,1.1k,
R3,0603,1,47,
R4,0603,1,732k,
R5,0603,1,100k,
"R6, R8, R9",0603,3,10k,
R7,0603,1,2.4k,
S1,SW_SSAJ110100,1,SSAJ110100,
"S2, S3",SW_SKRPABE010,2,SKRPABE010,
U1,XCVR_ESP32S3WROOM1N8R8,1,ESP32-S3-WROOM-1-N8R8,
U2,BGA9N40P3X3_134X143X69N,1,MAX98357AEWL_T,
U3,QFN50P300X300X100-17N,1,BQ24074RGTR,
U4,SOT95P285X140-5N,1,AP2112K-3.3TRG1,
U5,CONV_TPS61022RWUR,1,TPS61022RWUR,
